cole_cod_dane_establecimiento,cole_nombre_establecimiento,anio,c_naturales,ingles,lectura_critica,matematicas,sociales
113001003274,INSTITUCION EDUCATIVA JOSE MANUEL RODRIGUEZ TORICES,2021,35.6,85.9,5.8,15.7,40.4
113001003274,INSTITUCION EDUCATIVA JOSE MANUEL RODRIGUEZ TORICES,2022,31.2,79.5,4.2,12.5,37.2
113001003274,INSTITUCION EDUCATIVA JOSE MANUEL RODRIGUEZ TORICES,2023,20.6,76.1,7.5,9.8,32.7
113001003274,INSTITUCION EDUCATIVA JOSE MANUEL RODRIGUEZ TORICES,2024,21.0,70.4,4.3,9.6,31.5
113001003274,INSTITUCION EDUCATIVA JOSE MANUEL RODRIGUEZ TORICES,2025,21.1,75.4,2.3,8.7,34.4
113001003771,INSTITUCION EDUCATIVA LAS GAVIOTAS,2021,19.7,71.5,2.9,4.4,24.8
113001003771,INSTITUCION EDUCATIVA LAS GAVIOTAS,2022,9.7,77.9,1.4,4.8,20.0
113001003771,INSTITUCION EDUCATIVA LAS GAVIOTAS,2023,11.6,80.6,3.9,3.1,25.6
113001003771,INSTITUCION EDUCATIVA LAS GAVIOTAS,2024,10.5,68.4,0.8,0.8,27.1
113001003771,INSTITUCION EDUCATIVA LAS GAVIOTAS,2025,3.5,55.6,0.7,3.5,22.2
113001004149,INSTITUCION EDUCATIVA JUAN JOSE NIETO,2021,43.0,93.0,9.1,22.2,52.2
113001004149,INSTITUCION EDUCATIVA JUAN JOSE NIETO,2022,31.6,89.5,8.8,19.7,47.4
113001004149,INSTITUCION EDUCATIVA JUAN JOSE NIETO,2023,29.5,86.1,4.2,13.5,38.4
113001004149,INSTITUCION EDUCATIVA JUAN JOSE NIETO,2024,35.1,86.8,11.4,19.7,46.5
113001004149,INSTITUCION EDUCATIVA JUAN JOSE NIETO,2025,33.9,83.1,8.3,24.8,47.6
113001004254,INSTITUCION EDUCATIVA FULGENCIO LEQUERICA  VELEZ,2021,55.3,100.0,11.8,19.7,65.8
113001004254,INSTITUCION EDUCATIVA FULGENCIO LEQUERICA  VELEZ,2022,45.3,98.7,8.0,18.7,54.7
113001004254,INSTITUCION EDUCATIVA FULGENCIO LEQUERICA  VELEZ,2023,35.6,97.3,5.5,12.3,52.1
113001004254,INSTITUCION EDUCATIVA FULGENCIO LEQUERICA  VELEZ,2024,31.9,97.1,7.2,17.4,52.2
113001004254,INSTITUCION EDUCATIVA FULGENCIO LEQUERICA  VELEZ,2025,44.7,89.5,6.6,30.3,60.5
113001004289,INSTITUCION EDUCATIVA SAN LUCAS,2021,36.9,87.7,5.4,11.5,40.0
113001004289,INSTITUCION EDUCATIVA SAN LUCAS,2022,37.5,90.2,9.8,18.8,50.9
113001004289,INSTITUCION EDUCATIVA SAN LUCAS,2023,26.6,90.8,4.6,6.4,38.5
113001004289,INSTITUCION EDUCATIVA SAN LUCAS,2024,20.9,83.5,1.7,3.5,28.7
113001004289,INSTITUCION EDUCATIVA SAN LUCAS,2025,26.6,88.3,4.7,18.0,55.5
113001005358,INSTITUCION EDUCATIVA ALBERTO E. FERNANDEZ BAENA,2021,37.6,91.8,10.6,18.8,44.7
113001005358,INSTITUCION EDUCATIVA ALBERTO E. FERNANDEZ BAENA,2022,41.8,85.5,12.7,20.0,50.9
113001005358,INSTITUCION EDUCATIVA ALBERTO E. FERNANDEZ BAENA,2023,21.5,75.4,3.1,7.7,26.2
113001005358,INSTITUCION EDUCATIVA ALBERTO E. FERNANDEZ BAENA,2024,22.7,79.5,2.3,15.9,40.9
113001005358,INSTITUCION EDUCATIVA ALBERTO E. FERNANDEZ BAENA,2025,17.5,71.9,1.8,15.8,40.4
113001005374,INSTITUCION EDUCATIVA ANTONIA SANTOS,2021,46.7,90.8,10.8,31.7,58.3
113001005374,INSTITUCION EDUCATIVA ANTONIA SANTOS,2022,49.3,87.0,13.8,25.4,61.6
113001005374,INSTITUCION EDUCATIVA ANTONIA SANTOS,2023,39.3,91.0,6.9,26.9,49.7
113001005374,INSTITUCION EDUCATIVA ANTONIA SANTOS,2024,46.6,89.5,17.3,22.6,60.2
113001005374,INSTITUCION EDUCATIVA ANTONIA SANTOS,2025,36.6,80.6,9.0,27.6,53.0
113001005544,INSTITUCION EDUCATIVA ANTONIO NARIÑO,2021,50.0,91.1,5.4,19.6,58.9
113001005544,INSTITUCION EDUCATIVA ANTONIO NARIÑO,2022,50.7,98.6,14.5,36.2,60.9
113001005544,INSTITUCION EDUCATIVA ANTONIO NARIÑO,2023,50.7,94.5,8.2,30.1,63.0
113001005544,INSTITUCION EDUCATIVA ANTONIO NARIÑO,2024,63.4,93.0,16.9,29.6,59.2
113001005544,INSTITUCION EDUCATIVA ANTONIO NARIÑO,2025,49.4,94.3,16.1,31.0,72.4
113001006711,INSTITUCION EDUCATIVA OMAIRA SANCHEZ GARZON,2021,73.9,97.8,26.1,52.2,71.7
113001006711,INSTITUCION EDUCATIVA OMAIRA SANCHEZ GARZON,2022,52.0,100.0,20.0,52.0,64.0
113001006711,INSTITUCION EDUCATIVA OMAIRA SANCHEZ GARZON,2023,70.5,97.7,22.7,52.3,90.9
113001006711,INSTITUCION EDUCATIVA OMAIRA SANCHEZ GARZON,2024,53.7,100.0,18.5,44.4,81.5
113001006711,INSTITUCION EDUCATIVA OMAIRA SANCHEZ GARZON,2025,60.9,98.4,10.9,39.1,78.1
113001006800,INSTITUCION EDUCATIVA 20 DE JULIO,2021,29.1,89.5,3.5,16.3,31.4
113001006800,INSTITUCION EDUCATIVA 20 DE JULIO,2022,25.0,86.2,6.2,16.2,41.2
113001006800,INSTITUCION EDUCATIVA 20 DE JULIO,2023,21.8,83.9,3.4,19.5,35.6
113001006800,INSTITUCION EDUCATIVA 20 DE JULIO,2024,18.2,79.2,2.6,9.1,24.7
113001006800,INSTITUCION EDUCATIVA 20 DE JULIO,2025,12.8,81.4,2.3,10.5,33.7
113001007199,INSTITUCION EDUCATIVA FE Y ALEGRIA LAS AMERICAS,2021,48.5,95.9,12.4,29.6,60.9
113001007199,INSTITUCION EDUCATIVA FE Y ALEGRIA LAS AMERICAS,2022,51.0,92.1,21.9,31.8,60.9
113001007199,INSTITUCION EDUCATIVA FE Y ALEGRIA LAS AMERICAS,2023,40.0,95.0,8.6,12.9,54.3
113001007199,INSTITUCION EDUCATIVA FE Y ALEGRIA LAS AMERICAS,2024,36.1,95.5,12.0,26.3,46.6
113001007199,INSTITUCION EDUCATIVA FE Y ALEGRIA LAS AMERICAS,2025,37.0,89.1,9.7,15.2,64.8
113001007857,INSTITUCION EDUCATIVA LA LIBERTAD,2021,48.3,95.8,10.8,29.2,56.7
113001007857,INSTITUCION EDUCATIVA LA LIBERTAD,2022,42.2,89.1,11.6,30.6,53.7
113001007857,INSTITUCION EDUCATIVA LA LIBERTAD,2023,42.9,93.3,5.7,25.7,59.0
113001007857,INSTITUCION EDUCATIVA LA LIBERTAD,2024,45.7,94.5,12.2,25.0,66.5
113001007857,INSTITUCION EDUCATIVA LA LIBERTAD,2025,44.7,86.2,15.8,30.9,61.2
113001008268,INSTITUCION EDUCATIVA MARIA CANO,2021,41.5,84.9,9.4,18.9,43.4
113001008268,INSTITUCION EDUCATIVA MARIA CANO,2022,44.4,92.6,7.4,16.7,50.0
113001008268,INSTITUCION EDUCATIVA MARIA CANO,2023,43.1,88.2,7.8,29.4,47.1
113001008268,INSTITUCION EDUCATIVA MARIA CANO,2024,33.9,76.3,8.5,16.9,45.8
113001008268,INSTITUCION EDUCATIVA MARIA CANO,2025,31.0,84.5,8.6,22.4,44.8
113001008276,INSTITUCION EDUCATIVA PLAYAS DE ACAPULCO,2021,58.0,96.3,18.5,29.6,63.0
